기준년월,기초지자체,방문자 구분,방문자 수
201801,무안군,현지인방문자(a),834064.0
201801,무안군,외지인방문자(b),818058.0
201801,무안군,외국인방문자(c),1037.0
201801,무안군,외부방문자(b+c),819095.0
201801,무안군,전체방문자(a+b+c),1653159.0
201802,무안군,현지인방문자(a),703356.0
201802,무안군,외지인방문자(b),932078.0
201802,무안군,외국인방문자(c),1255.0
201802,무안군,외부방문자(b+c),933333.0
201802,무안군,전체방문자(a+b+c),1636690.0
201803,무안군,현지인방문자(a),870009.0
201803,무안군,외지인방문자(b),1203538.0
201803,무안군,외국인방문자(c),2617.0
201803,무안군,외부방문자(b+c),1206155.0
201803,무안군,전체방문자(a+b+c),2076164.0
201804,무안군,현지인방문자(a),827568.0
201804,무안군,외지인방문자(b),974953.0
201804,무안군,외국인방문자(c),2981.0
201804,무안군,외부방문자(b+c),977934.0
201804,무안군,전체방문자(a+b+c),1805502.0
201805,무안군,현지인방문자(a),1007388.0
201805,무안군,외지인방문자(b),1082494.0
201805,무안군,외국인방문자(c),4633.0
201805,무안군,외부방문자(b+c),1087127.0
201805,무안군,전체방문자(a+b+c),2094514.0
201806,무안군,현지인방문자(a),1003429.0
201806,무안군,외지인방문자(b),977554.0
201806,무안군,외국인방문자(c),3543.0
201806,무안군,외부방문자(b+c),981096.0
201806,무안군,전체방문자(a+b+c),1984525.0
201807,무안군,현지인방문자(a),978985.0
201807,무안군,외지인방문자(b),1038905.0
201807,무안군,외국인방문자(c),3210.0
201807,무안군,외부방문자(b+c),1042115.0
201807,무안군,전체방문자(a+b+c),2021100.0
201808,무안군,현지인방문자(a),961618.0
201808,무안군,외지인방문자(b),1090190.0
201808,무안군,외국인방문자(c),3100.0
201808,무안군,외부방문자(b+c),1093291.0
201808,무안군,전체방문자(a+b+c),2054909.0
201809,무안군,현지인방문자(a),982838.0
201809,무안군,외지인방문자(b),1312588.0
201809,무안군,외국인방문자(c),5296.0
201809,무안군,외부방문자(b+c),1317883.0
201809,무안군,전체방문자(a+b+c),2300722.0
201810,무안군,현지인방문자(a),1007324.0
201810,무안군,외지인방문자(b),1028010.0
201810,무안군,외국인방문자(c),4185.0
201810,무안군,외부방문자(b+c),1032194.0
201810,무안군,전체방문자(a+b+c),2039519.0
201811,무안군,현지인방문자(a),910378.0
201811,무안군,외지인방문자(b),980392.0
201811,무안군,외국인방문자(c),3450.0
201811,무안군,외부방문자(b+c),983842.0
201811,무안군,전체방문자(a+b+c),1894220.0
201812,무안군,현지인방문자(a),999831.0
201812,무안군,외지인방문자(b),979542.0
201812,무안군,외국인방문자(c),3189.0
201812,무안군,외부방문자(b+c),982731.0
201812,무안군,전체방문자(a+b+c),1982562.0
